stage,task,accuracy,micro-f1,macro-f1,seed
0.0,0.0,87.92,87.92,87.31,42.0
1.0,0.0,84.59,84.59,84.23,42.0
1.0,1.0,88.56,88.56,87.92,42.0
2.0,0.0,87.58,87.58,86.32,42.0
2.0,1.0,87.11,87.11,85.83,42.0
2.0,2.0,88.45,88.45,87.71,42.0
3.0,0.0,86.91,86.91,85.92,42.0
3.0,1.0,86.75,86.75,85.62,42.0
3.0,2.0,87.1,87.1,86.3,42.0
3.0,3.0,87.25,87.25,86.23,42.0
4.0,0.0,87.87,87.87,87.27,42.0
4.0,1.0,87.17,87.17,86.19,42.0
4.0,2.0,86.12,86.12,85.61,42.0
4.0,3.0,85.73,85.73,84.78,42.0
4.0,4.0,86.54,86.54,85.25,42.0
