stage,task,accuracy,micro-f1,macro-f1,seed
0.0,0.0,90.21,90.21,89.5,42.0
1.0,0.0,84.69,84.69,83.74,42.0
1.0,1.0,89.46,89.46,88.76,42.0
2.0,0.0,85.92,85.92,84.47,42.0
2.0,1.0,88.68,88.68,87.68,42.0
2.0,2.0,89.44,89.44,88.85,42.0
3.0,0.0,84.58,84.58,82.16,42.0
3.0,1.0,83.62,83.62,81.08,42.0
3.0,2.0,87.23,87.23,86.28,42.0
3.0,3.0,88.89,88.89,88.07,42.0
4.0,0.0,88.2,88.2,87.23,42.0
4.0,1.0,86.23,86.23,84.86,42.0
4.0,2.0,83.65,83.65,83.06,42.0
4.0,3.0,85.46,85.46,84.45,42.0
4.0,4.0,90.6,90.6,89.94,42.0
